img_path,seq
data\NER_data\twitter2017_images\16_05_01_343.jpg,a group of men standing on top of a basketball court
data\NER_data\twitter2017_images\16_05_01_344.jpg,a toy of a man with a guitar
data\NER_data\twitter2017_images\16_05_01_349.jpg,a flyer for a concert with a picture of a band
data\NER_data\twitter2017_images\16_05_01_354.jpg,a poster for a festival with a bunch of words on it
data\NER_data\twitter2017_images\16_05_01_36.jpg,a couple of men standing next to each other on a field
data\NER_data\twitter2017_images\16_05_01_360.jpg,a man and a woman are smiling at a baseball game
data\NER_data\twitter2017_images\16_05_01_362.jpg,a close up of a person wearing a suit and tie
data\NER_data\twitter2017_images\16_05_01_363.jpg,a baseball game is being played in a stadium
data\NER_data\twitter2017_images\16_05_01_367.jpg,a screen shot of a twitter account with a picture of a man
data\NER_data\twitter2017_images\16_05_01_37.jpg,a man in a suit standing next to a woman in a dress
data\NER_data\twitter2017_images\16_05_01_383.jpg,a basketball player dribbles the ball while being guarded by another player
data\NER_data\twitter2017_images\16_05_01_391.jpg,a close up of a person wearing a uniform
data\NER_data\twitter2017_images\16_05_01_396.jpg,a blurry photo of a pink and orange background
data\NER_data\twitter2017_images\16_05_01_399.jpg,a person is cooking hot dogs on a grill
data\NER_data\twitter2017_images\16_05_01_400.jpg,a group of baseball players standing next to each other
data\NER_data\twitter2017_images\16_05_01_406.jpg,a baseball jersey that is on a stand
data\NER_data\twitter2017_images\16_05_01_41.jpg,a man holding up a black football jersey
data\NER_data\twitter2017_images\16_05_01_414.jpg,a logo for the nfl sunday ticket
data\NER_data\twitter2017_images\16_05_01_420.jpg,a person holding a notebook with writing on it
data\NER_data\twitter2017_images\16_05_01_422.jpg,a group of cheerleaders posing for a picture
data\NER_data\twitter2017_images\16_05_01_425.jpg,a person holding a plant in their hands
data\NER_data\twitter2017_images\16_05_01_431.jpg,a group of young boys standing next to each other on a soccer field
data\NER_data\twitter2017_images\16_05_01_438.jpg,a man standing on top of a basketball court
data\NER_data\twitter2017_images\16_05_01_441.jpg,a collage of pictures of different foods
data\NER_data\twitter2017_images\16_05_01_444.jpg,a hockey game is being played in a stadium
data\NER_data\twitter2017_images\16_05_01_451.jpg,a baseball player jumping up into the air to catch a ball
data\NER_data\twitter2017_images\16_05_01_453.jpg,a poster for a concert with a man with long white hair and glasses
data\NER_data\twitter2017_images\16_05_01_459.jpg,a baltimore ravens football player running with the ball
data\NER_data\twitter2017_images\16_05_01_466.jpg,a picture of a cartoon character with red boxing gloves
data\NER_data\twitter2017_images\16_05_01_472.jpg,a poster advertising a soccer game with a girl kicking a soccer ball
data\NER_data\twitter2017_images\16_05_01_474.jpg,a man in a black shirt and glasses sitting on a red couch
data\NER_data\twitter2017_images\16_05_01_480.jpg,a group of young men playing a game of ice hockey
data\NER_data\twitter2017_images\16_05_01_489.jpg,a couple of men sitting next to each other
data\NER_data\twitter2017_images\16_05_01_492.jpg,a metro train parked at a train station
data\NER_data\twitter2017_images\16_05_01_498.jpg,a man in a football uniform holding a ball
data\NER_data\twitter2017_images\16_05_01_508.jpg,a group of men standing on top of a basketball court
data\NER_data\twitter2017_images\16_05_01_509.jpg,a close up of a table with numbers on it
data\NER_data\twitter2017_images\16_05_01_510.jpg,a black t - shirt with the words road trip on it
data\NER_data\twitter2017_images\16_05_01_514.jpg,a woman holding a black cat in her arms
data\NER_data\twitter2017_images\16_05_01_517.jpg,a black background with a red logo on it
data\NER_data\twitter2017_images\16_05_01_521.jpg,a man holding a microphone up in the air
data\NER_data\twitter2017_images\16_05_01_532.jpg,a screen shot of a scoreboard with a lot of numbers on it
data\NER_data\twitter2017_images\16_05_01_533.jpg,a screen shot of a football game with a player on the field
data\NER_data\twitter2017_images\16_05_01_538.jpg,a football player running with the ball in his hand
data\NER_data\twitter2017_images\16_05_01_539.jpg,a paper with a picture of a buddha on it
data\NER_data\twitter2017_images\16_05_01_540.jpg,a group of people standing on top of a stage
data\NER_data\twitter2017_images\16_05_01_542.jpg,a baseball player standing on top of a baseball field
data\NER_data\twitter2017_images\16_05_01_548.jpg,a basketball court with a canadian flag on it
data\NER_data\twitter2017_images\16_05_01_549.jpg,a man holding a scarf in front of a stadium
data\NER_data\twitter2017_images\16_05_01_550.jpg,a close up of a baseball player wearing a hat
data\NER_data\twitter2017_images\16_05_01_555.jpg,a group of people that are playing guitars
data\NER_data\twitter2017_images\16_05_01_557.jpg,a group of women looking at art on display
data\NER_data\twitter2017_images\16_05_01_564.jpg,a man laughing while sitting in a chair
data\NER_data\twitter2017_images\16_05_01_566.jpg,a close up of a baseball glove on a bed
data\NER_data\twitter2017_images\16_05_01_568.jpg,a group of kids climbing up a tree
data\NER_data\twitter2017_images\16_05_01_570.jpg,two girls in blue shirts standing next to each other
data\NER_data\twitter2017_images\16_05_01_590.jpg,a man and a woman standing next to each other
data\NER_data\twitter2017_images\16_05_01_591.jpg,a group of hockey players standing on top of a ice
data\NER_data\twitter2017_images\16_05_01_594.jpg,three bottles of toothpaste and a toothbrush on a table
data\NER_data\twitter2017_images\16_05_01_595.jpg,a couple of men standing next to each other
data\NER_data\twitter2017_images\16_05_01_596.jpg,a stage that has some lights on it
data\NER_data\twitter2017_images\16_05_01_597.jpg,a map of the city of barcelona
data\NER_data\twitter2017_images\16_05_01_599.jpg,a football sitting on top of a black jersey
data\NER_data\twitter2017_images\16_05_01_6.jpg,a poster for a concert with a man in a black jacket
data\NER_data\twitter2017_images\16_05_01_600.jpg,a man in a suit and tie holding a football jersey
data\NER_data\twitter2017_images\16_05_01_606.jpg,the san francisco giants win the world series championship dvd
data\NER_data\twitter2017_images\16_05_01_616.jpg,a flyer for a family fun day
data\NER_data\twitter2017_images\16_05_01_624.jpg,a man holding a young boy on his shoulders
data\NER_data\twitter2017_images\16_05_01_627.jpg,a woman and a little girl standing next to each other
data\NER_data\twitter2017_images\16_05_01_628.jpg,a poster of a football player holding a football
data\NER_data\twitter2017_images\16_05_01_632.jpg,["a flyer for a children's football game"]
data\NER_data\twitter2017_images\16_05_01_633.jpg,two pictures of a hockey player and a referee
data\NER_data\twitter2017_images\16_05_01_636.jpg,the logo of the team on a red background
data\NER_data\twitter2017_images\16_05_01_642.jpg,a crowd of people watching a baseball game
data\NER_data\twitter2017_images\16_05_01_645.jpg,a screen shot of a cell phone with a player on it
data\NER_data\twitter2017_images\16_05_01_65.jpg,an airplane taking off from an airport runway
data\NER_data\twitter2017_images\16_05_01_658.jpg,a group of football players standing on top of a field
data\NER_data\twitter2017_images\16_05_01_66.jpg,two men standing next to each other in front of a sign
data\NER_data\twitter2017_images\16_05_01_670.jpg,a man in a suit holding a hockey jersey
data\NER_data\twitter2017_images\16_05_01_673.jpg,a group of people playing music under a tent
data\NER_data\twitter2017_images\16_05_01_677.jpg,a man with a beard holding a baseball bat
data\NER_data\twitter2017_images\16_05_01_68.jpg,a collage of basketball players on a red background
data\NER_data\twitter2017_images\16_05_01_681.jpg,a woman standing on top of a stage holding a microphone
data\NER_data\twitter2017_images\16_05_01_684.jpg,a vase filled with white flowers on top of a table
data\NER_data\twitter2017_images\16_05_01_686.jpg,a fire truck parked in a parking lot next to the ocean
data\NER_data\twitter2017_images\16_05_01_688.jpg,a close up of a magnifying glass on a table
data\NER_data\twitter2017_images\16_05_01_692.jpg,a group of people standing on top of a boat
data\NER_data\twitter2017_images\16_05_01_694.jpg,a flag is hanging outside of a white building
data\NER_data\twitter2017_images\16_05_01_695.jpg,a man in a red jacket walking down a street
data\NER_data\twitter2017_images\16_05_01_697.jpg,a woman standing in front of a crowd of people
data\NER_data\twitter2017_images\16_05_01_7.jpg,a radio ad for a baseball game with a picture of a baseball player
data\NER_data\twitter2017_images\16_05_01_70.jpg,a group of people standing around a tent
data\NER_data\twitter2017_images\16_05_01_711.jpg,a close up of a person wearing a suit and tie
data\NER_data\twitter2017_images\16_05_01_717.jpg,a group of orange and black letters on a white background
data\NER_data\twitter2017_images\16_05_01_718.jpg,a group of people sitting around a table watching tv
data\NER_data\twitter2017_images\16_05_01_723.jpg,a group of kids playing a game of baseball
data\NER_data\twitter2017_images\16_05_01_724.jpg,a man holding a guitar in his right hand
data\NER_data\twitter2017_images\16_05_01_732.jpg,a screen shot of a web page with a twitter profile
data\NER_data\twitter2017_images\16_05_01_737.jpg,a soccer player is trying to block a soccer player
data\NER_data\twitter2017_images\16_05_01_739.jpg,a poster of a man in uniform with an american flag in the background
data\NER_data\twitter2017_images\16_05_01_741.jpg,a baseball player pitching a ball on top of a field
data\NER_data\twitter2017_images\16_05_01_746.jpg,two young women standing next to each other at a baseball game
data\NER_data\twitter2017_images\16_05_01_747.jpg,a marching band marching down a street in a parade
data\NER_data\twitter2017_images\16_05_01_749.jpg,a group of people sitting on top of a tennis court
data\NER_data\twitter2017_images\16_05_01_75.jpg,two women sitting at a table talking to each other
data\NER_data\twitter2017_images\16_05_01_753.jpg,a cup of coffee spilled out of the back of a red car
data\NER_data\twitter2017_images\16_05_01_760.jpg,the poster for space legend series
data\NER_data\twitter2017_images\16_05_01_761.jpg,a man wearing a cowboy hat leaning against a wooden wall
data\NER_data\twitter2017_images\16_05_01_764.jpg,a group of people standing on top of a basketball court
data\NER_data\twitter2017_images\16_05_01_765.jpg,a small dog is hiding under a bed
data\NER_data\twitter2017_images\16_05_01_767.jpg,a man wearing glasses and a black shirt
data\NER_data\twitter2017_images\16_05_01_777.jpg,a group of young children standing on top of a stage
data\NER_data\twitter2017_images\16_05_01_788.jpg,a group of soccer players standing next to each other
data\NER_data\twitter2017_images\16_05_01_802.jpg,a black and white photo with the words international podcast day on it
data\NER_data\twitter2017_images\16_05_01_803.jpg,a group of people standing on top of a stage
data\NER_data\twitter2017_images\16_05_01_804.jpg,a man sitting on a bench with a basketball in his hand
data\NER_data\twitter2017_images\16_05_01_81.jpg,two basketball players in action on the court
data\NER_data\twitter2017_images\16_05_01_810.jpg,a baby laying on top of a bed next to a woman
data\NER_data\twitter2017_images\16_05_01_813.jpg,a baseball player is running on the field
data\NER_data\twitter2017_images\16_05_01_816.jpg,a screen shot of the espn sports app
data\NER_data\twitter2017_images\16_05_01_817.jpg,a group of people standing on top of a lush green field
data\NER_data\twitter2017_images\16_05_01_818.jpg,a group of men playing a game of basketball
data\NER_data\twitter2017_images\16_05_01_82.jpg,a group of men sitting in front of sound equipment
data\NER_data\twitter2017_images\16_05_01_820.jpg,a woman in a red shirt holding a pink candy
data\NER_data\twitter2017_images\16_05_01_821.jpg,a man in a black shirt and cowboy hat
data\NER_data\twitter2017_images\16_05_01_86.jpg,a group of young women standing next to each other
data\NER_data\twitter2017_images\16_05_01_89.jpg,a no parking sign posted on a wooden pole
data\NER_data\twitter2017_images\16_05_01_96.jpg,a woman standing on a chair with her arms outstretched
data\NER_data\twitter2017_images\16_05_01_98.jpg,a pair of earrings with a football charm
data\NER_data\twitter2017_images\16_05_02_102.jpg,bob rivers president and coo eastern bank
data\NER_data\twitter2017_images\16_05_02_112.jpg,a ticket for a casino game is shown
data\NER_data\twitter2017_images\16_05_02_122.jpg,a group of people standing on top of a baseball field
data\NER_data\twitter2017_images\16_05_02_125.jpg,a man in a tuxedo standing next to a woman in a gown
data\NER_data\twitter2017_images\16_05_02_135.jpg,a bag of black plastic with the nfl logo on it
data\NER_data\twitter2017_images\16_05_02_14.jpg,a man with a basketball in his hand
data\NER_data\twitter2017_images\16_05_02_142.jpg,a group of people playing a game of ice hockey
data\NER_data\twitter2017_images\16_05_02_153.jpg,a close up of a person wearing glasses and a suit
data\NER_data\twitter2017_images\16_05_02_155.jpg,a group of young women standing next to each other
data\NER_data\twitter2017_images\16_05_02_16.jpg,a man in a suit holding a microphone
data\NER_data\twitter2017_images\16_05_02_176.jpg,a group of women standing on top of a stage
data\NER_data\twitter2017_images\16_05_02_205.jpg,a woman in a bodysuit is posing for a picture
data\NER_data\twitter2017_images\16_05_02_207.jpg,the news and observer logo on a white background
data\NER_data\twitter2017_images\16_05_02_208.jpg,a woman holding a microphone next to a man holding a drum
data\NER_data\twitter2017_images\16_05_02_22.jpg,a group of young men playing a game of basketball
data\NER_data\twitter2017_images\16_05_02_221.jpg,a group of people marching down a street
data\NER_data\twitter2017_images\16_05_02_238.jpg,a collage of two men playing basketball
data\NER_data\twitter2017_images\16_05_02_242.jpg,a large screen with a picture of a man on it
data\NER_data\twitter2017_images\16_05_02_255.jpg,a close up of a basketball on a court
data\NER_data\twitter2017_images\16_05_02_260.jpg,a man in a blue shirt is making a face
data\NER_data\twitter2017_images\16_05_02_268.jpg,a computer screen with a web page on it
data\NER_data\twitter2017_images\16_05_02_279.jpg,a woman in a black outfit on stage
data\NER_data\twitter2017_images\16_05_02_280.jpg,a group of female soccer players huddle together
data\NER_data\twitter2017_images\16_05_02_284.jpg,a tweet for a bank holiday monday the west stand ticket office & the club shop will be open from 10am to 10
data\NER_data\twitter2017_images\16_05_02_310.jpg,a sign that says texas mu tiny with scissors in front of it
data\NER_data\twitter2017_images\16_05_02_322.jpg,a group of people standing next to a body of water
data\NER_data\twitter2017_images\16_05_02_336.jpg,a young girl sitting on top of a suitcase
data\NER_data\twitter2017_images\16_05_02_346.jpg,a flyer for a youth football camp
data\NER_data\twitter2017_images\16_05_02_349.jpg,a man in a trench coat standing next to a man in a suit
data\NER_data\twitter2017_images\16_05_02_355.jpg,a group of men standing on top of a soccer field
data\NER_data\twitter2017_images\16_05_02_367.jpg,a baseball player swinging a bat at a ball
data\NER_data\twitter2017_images\16_05_02_38.jpg,a group of people standing next to each other
data\NER_data\twitter2017_images\16_05_02_390.jpg,a group of young men standing on top of a stage
data\NER_data\twitter2017_images\16_05_02_392.jpg,a cross with a picture of two men on it
data\NER_data\twitter2017_images\16_05_02_41.jpg,a young man is playing basketball in front of a crowd
data\NER_data\twitter2017_images\16_05_02_410.jpg,a woman in a red bodysuit with the word headliner on it
data\NER_data\twitter2017_images\16_05_02_43.jpg,a football player is running with the ball
data\NER_data\twitter2017_images\16_05_02_446.jpg,a living room filled with furniture and a fire place
data\NER_data\twitter2017_images\16_05_02_447.jpg,a collage of photos of a man and a woman
data\NER_data\twitter2017_images\16_05_02_460.jpg,a flyer for a conference with images of people and birds
data\NER_data\twitter2017_images\16_05_02_473.jpg,a brown teddy bear sitting next to a gold package
data\NER_data\twitter2017_images\16_05_02_50.jpg,a woman wearing a hat and holding a toothbrush
data\NER_data\twitter2017_images\16_05_02_503.jpg,a man sitting at a desk reading a book
data\NER_data\twitter2017_images\16_05_02_517.jpg,a man in a suit singing into a microphone
data\NER_data\twitter2017_images\16_05_02_527.jpg,a woman holding up a sign that says celebrating lies since 1800
data\NER_data\twitter2017_images\16_05_02_533.jpg,a large crowd of people walking down a street
data\NER_data\twitter2017_images\16_05_02_534.jpg,a group of people playing instruments in a room
data\NER_data\twitter2017_images\16_05_02_539.jpg,a poster for a concert with a trumpet
data\NER_data\twitter2017_images\16_05_02_560.jpg,a group of men standing on top of a soccer field
data\NER_data\twitter2017_images\16_05_02_561.jpg,a group of men standing next to each other
data\NER_data\twitter2017_images\16_05_02_576.jpg,a man standing in front of a painting of baseball players
data\NER_data\twitter2017_images\16_05_02_582.jpg,a bouquet of sunflowers and lavenders on a white background
data\NER_data\twitter2017_images\16_05_02_593.jpg,"a blue and white logo with the words, the gatesville times follow us at facebook com / ganesvilletimes"
data\NER_data\twitter2017_images\16_05_02_596.jpg,["a woman putting makeup on another woman's face"]
data\NER_data\twitter2017_images\16_05_02_600.jpg,a collage of photos of soccer players
data\NER_data\twitter2017_images\16_05_02_61.jpg,a group of young men standing next to each other on a soccer field
data\NER_data\twitter2017_images\16_05_02_610.jpg,three paintings of a man standing next to each other
data\NER_data\twitter2017_images\16_05_02_616.jpg,a flyer for a concert with a silhouette of a woman
data\NER_data\twitter2017_images\16_05_02_659.jpg,a woman sitting on the ground with a cup of coffee
data\NER_data\twitter2017_images\16_05_02_688.jpg,a room with a doorway and a clock on the wall
data\NER_data\twitter2017_images\16_05_02_692.jpg,a man in a red shirt and white hat holding a microphone
data\NER_data\twitter2017_images\16_05_02_696.jpg,a woman with her hands on her chest
data\NER_data\twitter2017_images\16_05_02_697.jpg,a collage of photos of a woman with long hair
data\NER_data\twitter2017_images\16_05_02_701.jpg,a signed manchester united shirt in a black frame
data\NER_data\twitter2017_images\16_05_02_705.jpg,a sign that says happy teacher appreciation week
data\NER_data\twitter2017_images\16_05_02_709.jpg,a group of people standing around a room
data\NER_data\twitter2017_images\16_05_02_753.jpg,a man in a blue uniform running on a soccer field
data\NER_data\twitter2017_images\16_05_02_756.jpg,a man sitting on top of a motorcycle
data\NER_data\twitter2017_images\16_05_02_758.jpg,a group of people sitting on top of a stage
data\NER_data\twitter2017_images\16_05_02_761.jpg,a woman sitting at a table next to a man in a football uniform
data\NER_data\twitter2017_images\16_05_02_767.jpg,a group of people standing around a pool of water
data\NER_data\twitter2017_images\16_05_02_776.jpg,"a sign that says, 28 of 31 first round picks played multiple sports in high school"
data\NER_data\twitter2017_images\16_05_02_779.jpg,a man is standing in front of a mirror
data\NER_data\twitter2017_images\16_05_02_785.jpg,a group of people playing a game in a field
data\NER_data\twitter2017_images\16_05_02_789.jpg,a group of men standing next to each other
data\NER_data\twitter2017_images\16_05_02_794.jpg,a close up of a person wearing a suit and tie
data\NER_data\twitter2017_images\16_05_02_80.jpg,a man in a t - shirt and jeans walks down a runway
data\NER_data\twitter2017_images\16_05_02_803.jpg,the chelsea and tottenham logos on a soccer field
data\NER_data\twitter2017_images\16_05_02_804.jpg,a collage of photos of people and balloons
data\NER_data\twitter2017_images\16_05_02_816.jpg,a close up of a paper with a soccer ball on it
data\NER_data\twitter2017_images\16_05_02_818.jpg,a couple of people that are kissing each other
data\NER_data\twitter2017_images\16_05_02_82.jpg,a poster for the mc2h art festival
data\NER_data\twitter2017_images\16_05_02_833.jpg,an older man is stretching on a brick walkway
data\NER_data\twitter2017_images\16_05_02_862.jpg,a couple of men standing next to each other on a basketball court
data\NER_data\twitter2017_images\16_05_02_871.jpg,"a red, white, and black background with the colors of the flag"
data\NER_data\twitter2017_images\16_05_02_875.jpg,a sign with a baseball player holding a bat
data\NER_data\twitter2017_images\16_05_02_876.jpg,an image of a yellow and blue space shuttle
data\NER_data\twitter2017_images\16_05_02_878.jpg,a group of people standing next to each other on a dirt road
data\NER_data\twitter2017_images\16_05_02_904.jpg,a split photo of a man and a woman
data\NER_data\twitter2017_images\16_05_02_912.jpg,a poster for the chelsea v spurs match
data\NER_data\twitter2017_images\16_05_02_919.jpg,a football card with a football player on it
data\NER_data\twitter2017_images\16_05_02_920.jpg,a baseball player is posing for a picture
data\NER_data\twitter2017_images\16_05_02_925.jpg,a couple of people standing on top of a stage
data\NER_data\twitter2017_images\16_05_02_938.jpg,a football coach standing on the sidelines with his team
data\NER_data\twitter2017_images\16_05_02_939.jpg,a statue of a woman in front of a building
data\NER_data\twitter2017_images\16_05_02_940.jpg,a soccer trophy with a crown on top of it
data\NER_data\twitter2017_images\16_05_02_941.jpg,a man and a woman standing next to each other
data\NER_data\twitter2017_images\16_05_02_955.jpg,a box of spurs celebration cake sits on a table
data\NER_data\twitter2017_images\16_05_02_964.jpg,a group of people standing on top of a soccer field
data\NER_data\twitter2017_images\16_05_02_970.jpg,a group of young men standing next to each other
data\NER_data\twitter2017_images\16_05_02_972.jpg,a man taking a picture of himself in a mirror
data\NER_data\twitter2017_images\16_05_02_973.jpg,a woman holding a basketball on a black background
data\NER_data\twitter2017_images\16_05_02_98.jpg,an older man wearing headphones and a microphone
data\NER_data\twitter2017_images\16_05_03_1044.jpg,a group of men on a field playing soccer
data\NER_data\twitter2017_images\16_05_03_1055.jpg,a poster with a bunch of different logos on it
data\NER_data\twitter2017_images\16_05_03_1119.jpg,a cup with a drawing of a family on it
data\NER_data\twitter2017_images\16_05_03_1147.jpg,a screen shot of a concert ticket for the summer spirit festival
data\NER_data\twitter2017_images\16_05_03_1168.jpg,a referee in a black uniform pointing at something
data\NER_data\twitter2017_images\16_05_03_1179.jpg,a couple of men standing next to each other holding a trophy
data\NER_data\twitter2017_images\16_05_03_1213.jpg,a large building with a bunch of signs on it
data\NER_data\twitter2017_images\16_05_03_1226.jpg,a flyer for a soccer game with a soccer ball on the field
data\NER_data\twitter2017_images\16_05_03_1235.jpg,a cardboard box with a tag that says l st and found
data\NER_data\twitter2017_images\16_05_03_191.jpg,a man and two women standing next to each other
data\NER_data\twitter2017_images\16_05_03_194.jpg,a group of people on a field playing soccer
data\NER_data\twitter2017_images\16_05_03_198.jpg,a close up of a person wearing a ring
data\NER_data\twitter2017_images\16_05_03_200.jpg,a man in a blue uniform is celebrating a goal
data\NER_data\twitter2017_images\16_05_03_201.jpg,a close up of a soccer player wearing a uniform
data\NER_data\twitter2017_images\16_05_03_208.jpg,a baseball player swinging a bat on a field
data\NER_data\twitter2017_images\16_05_03_210.jpg,a woman making a peace sign in front of a crowd
data\NER_data\twitter2017_images\16_05_03_223.jpg,a long line of people on a road at night
data\NER_data\twitter2017_images\16_05_03_237.jpg,a man in a baseball cap is smiling for the camera
data\NER_data\twitter2017_images\16_05_03_239.jpg,a man and a woman standing next to each other
data\NER_data\twitter2017_images\16_05_03_260.jpg,a man and a woman sitting next to each other
data\NER_data\twitter2017_images\16_05_03_32.jpg,two women standing in front of a great american ball park sign
data\NER_data\twitter2017_images\16_05_03_387.jpg,a group of people marching down a street holding a banner
data\NER_data\twitter2017_images\16_05_03_392.jpg,a man standing in front of a blackboard with diagrams on it
