img_path,seq
data\RE_data\img_org\test\twitter_19_31_2_29.jpg,a man in a black shirt is pointing to something
data\RE_data\img_org\test\twitter_19_31_3_11.jpg,a red and white flyer for a concert
data\RE_data\img_org\test\twitter_19_31_3_54.jpg,a polar bear is poking his head out of the snow
data\RE_data\img_org\test\twitter_19_31_5_15.jpg,a woman standing in the dark with her hands on her hips
data\RE_data\img_org\test\twitter_19_31_5_44.jpg,a close up of a person with tattoos
data\RE_data\img_org\test\twitter_19_31_7_90.jpg,a man holding a purple ball in his hand
data\RE_data\img_org\test\twitter_19_31_8_22.jpg,a young girl is dancing in a living room
data\RE_data\img_org\test\twitter_19_31_8_70.jpg,a person on a stage performing on a railing
data\RE_data\img_org\test\twitter_19_31_8_81.jpg,a couple of people that are hugging each other
data\RE_data\img_org\test\twitter_19_31_9_30.jpg,an image of a game with the title for the game
data\RE_data\img_org\test\twitter_19_31_9_43.jpg,a comic strip with mario and princess peach
data\RE_data\img_org\test\twitter_19_31_9_5.jpg,an anime scene with a path leading to a pavilion
data\RE_data\img_org\test\twitter_stream_2018_05_07_0_0_2_14.jpg,a man standing in front of a tv screen
data\RE_data\img_org\test\twitter_stream_2018_05_07_0_0_2_197.jpg,a bunch of magazines with different covers on them
data\RE_data\img_org\test\twitter_stream_2018_05_07_0_0_2_201.jpg,a group of young children standing next to each other
data\RE_data\img_org\test\twitter_stream_2018_05_07_0_0_2_207.jpg,a woman in a striped shirt and black jacket
data\RE_data\img_org\test\twitter_stream_2018_05_07_0_0_2_213.jpg,a man standing in front of a crowd of people
data\RE_data\img_org\test\twitter_stream_2018_05_07_0_0_2_6.jpg,a cartoon character with a microphone in his hand
data\RE_data\img_org\test\twitter_stream_2018_05_07_10_0_2_167.jpg,a man in a suit and tie walks past a coat of arms
data\RE_data\img_org\test\twitter_stream_2018_05_07_10_0_2_230.jpg,a woman in a black and silver dress on stage
data\RE_data\img_org\test\twitter_stream_2018_05_07_10_0_2_36.jpg,a man in a captain america costume standing in a room
data\RE_data\img_org\test\twitter_stream_2018_05_07_10_0_2_49.jpg,a bar chart showing the price of a real estate
data\RE_data\img_org\test\twitter_stream_2018_05_07_10_0_2_90.jpg,a man laying on top of a bed with a dog
data\RE_data\img_org\test\twitter_stream_2018_05_07_10_0_2_97.jpg,a man with no shirt standing in a room
data\RE_data\img_org\test\twitter_stream_2018_05_07_11_0_2_13.jpg,a close up of a building with a clock on it's face
data\RE_data\img_org\test\twitter_stream_2018_05_07_11_0_2_167.jpg,a man in a suit and tie giving a speech
data\RE_data\img_org\test\twitter_stream_2018_05_07_11_0_2_173.jpg,a large red brick house with white trim
data\RE_data\img_org\test\twitter_stream_2018_05_07_11_0_2_176.jpg,a couple of young men standing next to each other
data\RE_data\img_org\test\twitter_stream_2018_05_07_11_0_2_184.jpg,a red light is shining on a black background
data\RE_data\img_org\test\twitter_stream_2018_05_07_11_0_2_203.jpg,a couple of people that are kissing each other
data\RE_data\img_org\test\twitter_stream_2018_05_07_11_0_2_214.jpg,a man standing with a bike in a train station
data\RE_data\img_org\test\twitter_stream_2018_05_07_11_0_2_237.jpg,a man in uniform standing in front of a sign
data\RE_data\img_org\test\twitter_stream_2018_05_07_11_0_2_40.jpg,a woman in a bikini holding a green bottle
data\RE_data\img_org\test\twitter_stream_2018_05_07_12_0_2_11.jpg,a group of men playing a game of cricket
data\RE_data\img_org\test\twitter_stream_2018_05_07_12_0_2_116.jpg,a close up of a person wearing a suit and tie
data\RE_data\img_org\test\twitter_stream_2018_05_07_12_0_2_126.jpg,a man in a suit and tie on a news show
data\RE_data\img_org\test\twitter_stream_2018_05_07_12_0_2_186.jpg,a bottle of perfume sitting next to a box
data\RE_data\img_org\test\twitter_stream_2018_05_07_12_0_2_205.jpg,a woman standing on a train track at night
data\RE_data\img_org\test\twitter_stream_2018_05_07_12_0_2_208.jpg,a collage of photos of people posing for a picture
data\RE_data\img_org\test\twitter_stream_2018_05_07_12_0_2_240.jpg,a close up of a person wearing a suit and tie
data\RE_data\img_org\test\twitter_stream_2018_05_07_12_0_2_243.jpg,a man wearing glasses and a black shirt
data\RE_data\img_org\test\twitter_stream_2018_05_07_12_0_2_46.jpg,a diagram of a game being played in a class
data\RE_data\img_org\test\twitter_stream_2018_05_07_12_0_2_47.jpg,a couple of people that are posing for a picture
data\RE_data\img_org\test\twitter_stream_2018_05_07_12_0_2_51.jpg,a woman in a green graduation gown standing in the grass
data\RE_data\img_org\test\twitter_stream_2018_05_07_12_0_2_54.jpg,a dark cave with a light at the end of it
data\RE_data\img_org\test\twitter_stream_2018_05_07_12_0_2_63.jpg,a close up of a face on a statue
data\RE_data\img_org\test\twitter_stream_2018_05_07_12_0_2_94.jpg,a small kitten sitting on top of a bed next to a cup
data\RE_data\img_org\test\twitter_stream_2018_05_07_12_0_2_98.jpg,a large tiger standing on top of a wooden platform
data\RE_data\img_org\test\twitter_stream_2018_05_07_13_0_2_110.jpg,a group of young men standing next to each other
data\RE_data\img_org\test\twitter_stream_2018_05_07_13_0_2_131.jpg,a woman in a bathing suit doing a yoga pose on the beach
data\RE_data\img_org\test\twitter_stream_2018_05_07_13_0_2_168.jpg,a painting of flowers in a vase on a table
data\RE_data\img_org\test\twitter_stream_2018_05_07_13_0_2_229.jpg,a couple of men standing next to each other on a soccer field
data\RE_data\img_org\test\twitter_stream_2018_05_07_13_0_2_72.jpg,a newspaper article with an image of a man and woman
data\RE_data\img_org\test\twitter_stream_2018_05_07_13_0_2_74.jpg,a black and white photo with the words image not found
data\RE_data\img_org\test\twitter_stream_2018_05_07_13_0_2_75.jpg,a man in a green shirt in front of a bookshelf
data\RE_data\img_org\test\twitter_stream_2018_05_07_14_0_2_119.jpg,a man in a graduation gown standing in front of a stadium
data\RE_data\img_org\test\twitter_stream_2018_05_07_14_0_2_12.jpg,a man standing at a podium in front of a microphone
data\RE_data\img_org\test\twitter_stream_2018_05_07_14_0_2_135.jpg,a man in a green robe and a crown
data\RE_data\img_org\test\twitter_stream_2018_05_07_14_0_2_164.jpg,a man in a suit and tie standing in front of a flag
data\RE_data\img_org\test\twitter_stream_2018_05_07_14_0_2_179.jpg,a group of women sitting on a subway train
data\RE_data\img_org\test\twitter_stream_2018_05_07_14_0_2_23.jpg,a man in a green suit holding a gun in front of a fire
data\RE_data\img_org\test\twitter_stream_2018_05_07_14_0_2_24.jpg,a television screen with a woman on it
data\RE_data\img_org\test\twitter_stream_2018_05_07_14_0_2_3.jpg,a line graph showing the number of people in each country
data\RE_data\img_org\test\twitter_stream_2018_05_07_14_0_2_37.jpg,a man with a saxophone in his hands
data\RE_data\img_org\test\twitter_stream_2018_05_07_14_0_2_42.jpg,a man in a suit and tie giving a speech
data\RE_data\img_org\test\twitter_stream_2018_05_07_14_0_2_43.jpg,a group of people standing next to each other
data\RE_data\img_org\test\twitter_stream_2018_05_07_14_0_2_60.jpg,two men are playing basketball on a court
data\RE_data\img_org\test\twitter_stream_2018_05_07_14_0_2_70.jpg,a black car driving down a street next to a tree
data\RE_data\img_org\test\twitter_stream_2018_05_07_14_0_2_95.jpg,a man in a white shirt and black tie
data\RE_data\img_org\test\twitter_stream_2018_05_07_15_0_2_119.jpg,a map of the united states of america
data\RE_data\img_org\test\twitter_stream_2018_05_07_15_0_2_206.jpg,a man dunking a basketball in front of a crowd
data\RE_data\img_org\test\twitter_stream_2018_05_07_15_0_2_230.jpg,two men sitting next to each other at a basketball game
data\RE_data\img_org\test\twitter_stream_2018_05_07_15_0_2_65.jpg,a woman in a pink dress posing for a picture
data\RE_data\img_org\test\twitter_stream_2018_05_07_16_0_2_165.jpg,a black helicopter flying through a cloudy sky
data\RE_data\img_org\test\twitter_stream_2018_05_07_16_0_2_180.jpg,a basketball player pointing to the side of the court
data\RE_data\img_org\test\twitter_stream_2018_05_07_16_0_2_211.jpg,a man standing in front of a purple light
data\RE_data\img_org\test\twitter_stream_2018_05_07_16_0_2_63.jpg,a close up of a person wearing a black shirt
data\RE_data\img_org\test\twitter_stream_2018_05_07_16_0_2_94.jpg,a man riding a motorcycle down a curvy road
data\RE_data\img_org\test\twitter_stream_2018_05_07_16_0_2_99.jpg,a group of young men standing next to each other
data\RE_data\img_org\test\twitter_stream_2018_05_07_17_0_2_172.jpg,a drawing of a gorilla with a big smile on his face
data\RE_data\img_org\test\twitter_stream_2018_05_07_17_0_2_235.jpg,a football player is walking on the field
data\RE_data\img_org\test\twitter_stream_2018_05_07_17_0_2_29.jpg,two men sitting in red chairs talking to each other
data\RE_data\img_org\test\twitter_stream_2018_05_07_17_0_2_91.jpg,a painting of a tree with red leaves
data\RE_data\img_org\test\twitter_stream_2018_05_07_18_0_2_12.jpg,a man in a suit is talking on a cell phone
data\RE_data\img_org\test\twitter_stream_2018_05_07_18_0_2_120.jpg,a poem written in red and black on a white background
data\RE_data\img_org\test\twitter_stream_2018_05_07_18_0_2_147.jpg,a man standing next to a young boy in a suit
data\RE_data\img_org\test\twitter_stream_2018_05_07_18_0_2_150.jpg,a poem written in black and white on a white background
data\RE_data\img_org\test\twitter_stream_2018_05_07_18_0_2_17.jpg,a bridge over a body of water at night
data\RE_data\img_org\test\twitter_stream_2018_05_07_18_0_2_193.jpg,a football player is running with the ball
data\RE_data\img_org\test\twitter_stream_2018_05_07_18_0_2_206.jpg,a drawing of a woman holding a sign
data\RE_data\img_org\test\twitter_stream_2018_05_07_18_0_2_208.jpg,an oil pump in the middle of a field
data\RE_data\img_org\test\twitter_stream_2018_05_07_18_0_2_211.jpg,a group of birds standing on top of a grass covered field
data\RE_data\img_org\test\twitter_stream_2018_05_07_18_0_2_219.jpg,a crowd of people standing around a man holding a sign
data\RE_data\img_org\test\twitter_stream_2018_05_07_18_0_2_227.jpg,the boring company logo on a brick wall
data\RE_data\img_org\test\twitter_stream_2018_05_07_18_0_2_49.jpg,a view of a city at night from across the water
data\RE_data\img_org\test\twitter_stream_2018_05_07_18_0_2_56.jpg,a couple of stuffed animals that are next to each other
data\RE_data\img_org\test\twitter_stream_2018_05_07_18_0_2_87.jpg,a clock on a wall with a brick wall behind it
data\RE_data\img_org\test\twitter_stream_2018_05_07_19_0_2_111.jpg,a couple of men standing next to each other
data\RE_data\img_org\test\twitter_stream_2018_05_07_19_0_2_135.jpg,a map of the world showing the location of italy
data\RE_data\img_org\test\twitter_stream_2018_05_07_19_0_2_136.jpg,a close up of a board game with dices
data\RE_data\img_org\test\twitter_stream_2018_05_07_19_0_2_162.jpg,a man in a suit standing outside of a building
data\RE_data\img_org\test\twitter_stream_2018_05_07_19_0_2_166.jpg,a man with his arms crossed standing in front of a adidas sign
data\RE_data\img_org\test\twitter_stream_2018_05_07_19_0_2_220.jpg,a happy birthday and thanks for the football players
data\RE_data\img_org\test\twitter_stream_2018_05_07_19_0_2_221.jpg,two people standing in front of a view of a city
data\RE_data\img_org\test\twitter_stream_2018_05_07_19_0_2_241.jpg,a man holding a basketball in his right hand
data\RE_data\img_org\test\twitter_stream_2018_05_07_19_0_2_242.jpg,captain america civil war movie poster
data\RE_data\img_org\test\twitter_stream_2018_05_07_19_0_2_34.jpg,a black and white photo with the words nestle agrees to pay starbucks $ 7 billion as part of global marketing pact
data\RE_data\img_org\test\twitter_stream_2018_05_07_19_0_2_55.jpg,a poster with a picture of a man in a suit and tie
data\RE_data\img_org\test\twitter_stream_2018_05_07_19_0_2_79.jpg,a large cruise ship in a large body of water
data\RE_data\img_org\test\twitter_stream_2018_05_07_19_0_2_84.jpg,an island in the middle of a body of water
data\RE_data\img_org\test\twitter_stream_2018_05_07_1_0_2_126.jpg,a black and white photo of a man in a costume
data\RE_data\img_org\test\twitter_stream_2018_05_07_1_0_2_158.jpg,a man sitting in a chair with a microphone
data\RE_data\img_org\test\twitter_stream_2018_05_07_1_0_2_182.jpg,a group of people standing in front of a tv
data\RE_data\img_org\test\twitter_stream_2018_05_07_1_0_2_43.jpg,a pop vinyl figure in a box
data\RE_data\img_org\test\twitter_stream_2018_05_07_20_0_2_105.jpg,a group of three men standing next to each other
data\RE_data\img_org\test\twitter_stream_2018_05_07_20_0_2_150.jpg,a person placing a flower on a table
data\RE_data\img_org\test\twitter_stream_2018_05_07_20_0_2_176.jpg,an aerial view of a beach with umbrellas
data\RE_data\img_org\test\twitter_stream_2018_05_07_20_0_2_207.jpg,a man taking a picture of another man on a cell phone
data\RE_data\img_org\test\twitter_stream_2018_05_07_20_0_2_211.jpg,a large group of people walking down a street
data\RE_data\img_org\test\twitter_stream_2018_05_07_20_0_2_90.jpg,a group of men standing on top of a stage
data\RE_data\img_org\test\twitter_stream_2018_05_07_21_0_2_102.jpg,a group of people riding on an escalator
data\RE_data\img_org\test\twitter_stream_2018_05_07_21_0_2_56.jpg,a man and a woman in formal wear posing for a picture
data\RE_data\img_org\test\twitter_stream_2018_05_07_21_0_2_64.jpg,a group of men playing a game of basketball
data\RE_data\img_org\test\twitter_stream_2018_05_07_22_0_2_12.jpg,a woman in a black dress standing in front of a crowd
data\RE_data\img_org\test\twitter_stream_2018_05_07_22_0_2_121.jpg,twitter screenshots of donald trump's twitter account
data\RE_data\img_org\test\twitter_stream_2018_05_07_22_0_2_131.jpg,a woman standing at a podium in front of candles
data\RE_data\img_org\test\twitter_stream_2018_05_07_22_0_2_14.jpg,a poem written in black and white on a piece of paper
data\RE_data\img_org\test\twitter_stream_2018_05_07_22_0_2_175.jpg,a woman with black hair and a man with black hair
data\RE_data\img_org\test\twitter_stream_2018_05_07_22_0_2_221.jpg,a woman in a pink dress standing in front of a crowd
data\RE_data\img_org\test\twitter_stream_2018_05_07_22_0_2_222.jpg,a woman sitting in a chair with a microphone in her hand
data\RE_data\img_org\test\twitter_stream_2018_05_07_22_0_2_242.jpg,a man and a woman standing next to each other
data\RE_data\img_org\test\twitter_stream_2018_05_07_22_0_2_42.jpg,a close up of a person wearing a suit and bow tie
data\RE_data\img_org\test\twitter_stream_2018_05_07_22_0_2_5.jpg,a woman sitting on a couch wearing a black jacket
data\RE_data\img_org\test\twitter_stream_2018_05_07_23_0_2_169.jpg,a woman in a blue cape and yellow dress
data\RE_data\img_org\test\twitter_stream_2018_05_07_23_0_2_181.jpg,a woman in a white dress and a man in a white suit
data\RE_data\img_org\test\twitter_stream_2018_05_07_23_0_2_42.jpg,a woman in a white gown and a man in a black suit
data\RE_data\img_org\test\twitter_stream_2018_05_07_23_0_2_59.jpg,a group of people sitting inside of a car
data\RE_data\img_org\test\twitter_stream_2018_05_07_23_0_2_61.jpg,a black and white photo of a man getting his hair cut
data\RE_data\img_org\test\twitter_stream_2018_05_07_23_0_2_71.jpg,a person's feet wearing white and orange sneakers
data\RE_data\img_org\test\twitter_stream_2018_05_07_2_0_2_159.jpg,a young man dunking a basketball in front of a crowd
data\RE_data\img_org\test\twitter_stream_2018_05_07_2_0_2_166.jpg,a black and white photo of a man holding a baby
data\RE_data\img_org\test\twitter_stream_2018_05_07_2_0_2_91.jpg,a man in a white shirt and blue jacket
data\RE_data\img_org\test\twitter_stream_2018_05_07_2_3_39.jpg,a black notebook with the samsung pay logo on it
data\RE_data\img_org\test\twitter_stream_2018_05_07_2_3_55.jpg,three men sitting on a couch in a living room
data\RE_data\img_org\test\twitter_stream_2018_05_07_2_3_59.jpg,a screen shot of a web page with the words thank you for being our biggest fans
data\RE_data\img_org\test\twitter_stream_2018_05_07_2_3_78.jpg,a dust storm is coming in from a building
data\RE_data\img_org\test\twitter_stream_2018_05_07_2_3_82.jpg,a group of people standing next to each other
data\RE_data\img_org\test\twitter_stream_2018_05_07_3_0_2_133.jpg,the logo for the little rock football team
data\RE_data\img_org\test\twitter_stream_2018_05_07_3_0_2_165.jpg,a man in a purple suit singing into a microphone
data\RE_data\img_org\test\twitter_stream_2018_05_07_3_0_2_184.jpg,a man is feeding a baby with a bottle
data\RE_data\img_org\test\twitter_stream_2018_05_07_3_0_2_209.jpg,a group of people sitting next to each other
data\RE_data\img_org\test\twitter_stream_2018_05_07_3_0_2_218.jpg,a group of people standing on top of a stage
data\RE_data\img_org\test\twitter_stream_2018_05_07_3_0_2_3.jpg,a man with a beard and a man with a goatee
data\RE_data\img_org\test\twitter_stream_2018_05_07_3_0_2_36.jpg,a couple of cards with a picture of two men
data\RE_data\img_org\test\twitter_stream_2018_05_07_4_0_2_180.jpg,a quote from the movie star wars
data\RE_data\img_org\test\twitter_stream_2018_05_07_4_0_2_201.jpg,a close up of a bunch of lettuce
data\RE_data\img_org\test\twitter_stream_2018_05_07_4_0_2_202.jpg,a close up of a person with a beard
data\RE_data\img_org\test\twitter_stream_2018_05_07_4_0_2_41.jpg,a t - shirt with a picture of a baseball player on it
data\RE_data\img_org\test\twitter_stream_2018_05_07_4_0_2_62.jpg,a group of people sitting next to each other on a stage
data\RE_data\img_org\test\twitter_stream_2018_05_07_4_0_2_87.jpg,a group of people sitting in front of a tv
data\RE_data\img_org\test\twitter_stream_2018_05_07_4_0_2_93.jpg,a woman getting her hair styled in front of a mirror
data\RE_data\img_org\test\twitter_stream_2018_05_07_5_0_2_125.jpg,a man standing at a podium in front of a microphone
data\RE_data\img_org\test\twitter_stream_2018_05_07_5_0_2_18.jpg,a group of people standing on top of a stage
data\RE_data\img_org\test\twitter_stream_2018_05_07_5_0_2_201.jpg,a bar chart that shows the number of people in each country
data\RE_data\img_org\test\twitter_stream_2018_05_07_5_0_2_30.jpg,a group of people in pink shirts standing in front of a school bus
data\RE_data\img_org\test\twitter_stream_2018_05_07_5_0_2_61.jpg,a split photo of a man talking on a phone and another picture of a man in a suit talking on a phone
data\RE_data\img_org\test\twitter_stream_2018_05_07_6_0_2_155.jpg,a woman walking with a suitcase and a handbag
data\RE_data\img_org\test\twitter_stream_2018_05_07_6_0_2_189.jpg,a man dressed as thanos in a scene from the movie avengers
data\RE_data\img_org\test\twitter_stream_2018_05_07_6_0_2_214.jpg,a close up of a black box with a blue light
data\RE_data\img_org\test\twitter_stream_2018_05_07_6_0_2_227.jpg,a close up of a baseball player holding a bat
data\RE_data\img_org\test\twitter_stream_2018_05_07_6_0_2_3.jpg,a large crowd of people standing in front of a building
data\RE_data\img_org\test\twitter_stream_2018_05_07_6_0_2_32.jpg,a group of people standing on top of a stage
data\RE_data\img_org\test\twitter_stream_2018_05_07_6_0_2_45.jpg,a man standing next to a hole in the snow
data\RE_data\img_org\test\twitter_stream_2018_05_07_6_0_2_58.jpg,a german shepherd dog standing on a gravel road
data\RE_data\img_org\test\twitter_stream_2018_05_07_6_0_2_99.jpg,a man standing in the grass holding a microphone
data\RE_data\img_org\test\twitter_stream_2018_05_07_7_0_2_119.jpg,a man in a suit looking at another man in a suit
data\RE_data\img_org\test\twitter_stream_2018_05_07_7_0_2_136.jpg,a starbucks sign with a woman's face on it
data\RE_data\img_org\test\twitter_stream_2018_05_07_7_0_2_86.jpg,a woman taking a picture with her cell phone
data\RE_data\img_org\test\twitter_stream_2018_05_07_8_0_2_105.jpg,a group of men standing next to each other
data\RE_data\img_org\test\twitter_stream_2018_05_07_8_0_2_164.jpg,a group of people with green and white striped shirts
data\RE_data\img_org\test\twitter_stream_2018_05_07_8_0_2_191.jpg,a couple of trucks driving down a dirt road
data\RE_data\img_org\test\twitter_stream_2018_05_07_8_0_2_196.jpg,an aerial view of a lava flow
data\RE_data\img_org\test\twitter_stream_2018_05_07_8_0_2_206.jpg,a group of people standing on top of a basketball court
data\RE_data\img_org\test\twitter_stream_2018_05_07_8_0_2_30.jpg,a fish with a bottle in it's mouth in the water
data\RE_data\img_org\test\twitter_stream_2018_05_07_8_0_2_48.jpg,a pair of blue and white sneakers on a table
data\RE_data\img_org\test\twitter_stream_2018_05_07_8_0_2_52.jpg,a group of people standing around a living room
data\RE_data\img_org\test\twitter_stream_2018_05_07_8_0_2_63.jpg,a woman standing on the stairs of a building
data\RE_data\img_org\test\twitter_stream_2018_05_07_8_0_2_92.jpg,a large cloud looms over a green field
data\RE_data\img_org\test\twitter_stream_2018_05_07_8_0_2_99.jpg,the before and after of a video game
data\RE_data\img_org\test\twitter_stream_2018_05_07_9_0_2_11.jpg,a man walking down a road next to a forest
data\RE_data\img_org\test\twitter_stream_2018_05_07_9_0_2_142.jpg,a group of people holding a flag on top of a mountain
data\RE_data\img_org\test\twitter_stream_2018_05_07_9_0_2_144.jpg,a cartoon of a man standing on a roof
data\RE_data\img_org\test\twitter_stream_2018_05_07_9_0_2_149.jpg,a billboard with a picture of a man on it
data\RE_data\img_org\test\twitter_stream_2018_05_07_9_0_2_194.jpg,a house on a hill with a car parked in front of it
data\RE_data\img_org\test\twitter_stream_2018_05_07_9_0_2_2.jpg,a close up of a person wearing a suit and tie
data\RE_data\img_org\test\twitter_stream_2018_05_07_9_0_2_36.jpg,a man in a suit and tie holding a plaque
data\RE_data\img_org\test\twitter_stream_2018_05_07_9_0_2_42.jpg,a dog with a bandana around it's neck
data\RE_data\img_org\test\twitter_stream_2018_05_07_9_0_2_48.jpg,a white and black adidas running shoe
data\RE_data\img_org\test\twitter_stream_2018_05_07_9_0_2_56.jpg,a group of men standing next to each other on a field
data\RE_data\img_org\test\twitter_stream_2018_05_07_9_0_2_92.jpg,a painting of a girl in a white dress
data\RE_data\img_org\test\twitter_stream_2018_06_11_11_0_2_100.jpg,a man sitting at a table with microphones in front of him
data\RE_data\img_org\test\twitter_stream_2018_06_11_11_0_2_128.jpg,a close up of a person wearing a suit and tie
data\RE_data\img_org\test\twitter_stream_2018_06_11_11_0_2_137.jpg,a woman standing in a field at sunset
data\RE_data\img_org\test\twitter_stream_2018_06_11_11_0_2_185.jpg,a group of young people standing next to each other
data\RE_data\img_org\test\twitter_stream_2018_06_11_11_0_2_47.jpg,a close up of a sci - fi helmet with a mountain in the background
data\RE_data\img_org\test\twitter_stream_2018_06_11_11_0_2_78.jpg,a book with pictures of vases and other items
data\RE_data\img_org\test\twitter_stream_2018_06_11_13_0_2_142.jpg,a group of people standing on top of a stage
data\RE_data\img_org\test\twitter_stream_2018_06_11_13_0_2_182.jpg,a black and white photo of a person singing into a microphone
data\RE_data\img_org\test\twitter_stream_2018_06_11_13_0_2_195.jpg,a black and white photo of people walking down a street
data\RE_data\img_org\test\twitter_stream_2018_06_11_13_0_2_33.jpg,a man in a suit and tie standing in front of a crowd
data\RE_data\img_org\test\twitter_stream_2018_06_11_14_0_2_32.jpg,the entrance to a building with a walkway leading to it
data\RE_data\img_org\test\twitter_stream_2018_06_11_15_0_2_137.jpg,a group of people standing outside of a building
data\RE_data\img_org\test\twitter_stream_2018_06_11_15_0_2_3.jpg,a man and a woman standing next to each other
data\RE_data\img_org\test\twitter_stream_2018_06_11_15_0_2_70.jpg,a man with grey hair and a black jacket
data\RE_data\img_org\test\twitter_stream_2018_06_11_16_0_2_130.jpg,a basketball player dribbling the ball during a game
data\RE_data\img_org\test\twitter_stream_2018_06_11_16_0_2_220.jpg,a castle sitting on top of a large body of water
data\RE_data\img_org\test\twitter_stream_2018_06_11_17_0_2_118.jpg,two men standing next to each other in front of a dark background
data\RE_data\img_org\test\twitter_stream_2018_06_11_17_0_2_119.jpg,a fountain in front of a building with statues on it
data\RE_data\img_org\test\twitter_stream_2018_06_11_17_0_2_138.jpg,an older man wearing a colorful shirt and tie
data\RE_data\img_org\test\twitter_stream_2018_06_11_18_0_2_180.jpg,a man with a beard sitting in front of a microphone
data\RE_data\img_org\test\twitter_stream_2018_06_11_18_0_2_236.jpg,a couple of people that are walking together
data\RE_data\img_org\test\twitter_stream_2018_06_11_18_0_2_91.jpg,a man driving a race car on a track
data\RE_data\img_org\test\twitter_stream_2018_06_11_19_0_2_20.jpg,a woman with blonde hair is smiling for the camera
data\RE_data\img_org\test\twitter_stream_2018_06_11_19_0_2_22.jpg,a man and a woman posing for a picture
data\RE_data\img_org\test\twitter_stream_2018_06_11_19_0_2_227.jpg,a man and a woman with long hair
data\RE_data\img_org\test\twitter_stream_2018_06_11_19_0_2_232.jpg,a black and white photo of people in a car waving
data\RE_data\img_org\test\twitter_stream_2018_06_11_19_0_2_94.jpg,a man standing on a stage with a microphone
data\RE_data\img_org\test\twitter_stream_2018_06_11_1_0_2_11.jpg,two tweets that are on twitter
data\RE_data\img_org\test\twitter_stream_2018_06_11_1_0_2_117.jpg,a group of people sitting on top of a bed
data\RE_data\img_org\test\twitter_stream_2018_06_11_1_0_2_153.jpg,a photo of a man holding a trophy
data\RE_data\img_org\test\twitter_stream_2018_06_11_1_0_2_181.jpg,an apple and a robot on a table
data\RE_data\img_org\test\twitter_stream_2018_06_11_1_0_2_186.jpg,a van driving down a city street next to tall buildings
data\RE_data\img_org\test\twitter_stream_2018_06_11_1_0_2_193.jpg,a close up of a person wearing a suit and tie
data\RE_data\img_org\test\twitter_stream_2018_06_11_20_0_2_127.jpg,a woman posing for a picture with a skateboard
data\RE_data\img_org\test\twitter_stream_2018_06_11_20_0_2_151.jpg,a black background with the words pulp fiction
data\RE_data\img_org\test\twitter_stream_2018_06_11_20_0_2_152.jpg,a satellite image of a large body of water
data\RE_data\img_org\test\twitter_stream_2018_06_11_20_0_2_157.jpg,a street light next to a building with a rose on it
